ADM1_EN,ADM2_EN,Shape_Area,Year,Month,Date,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent
Nairobi,Kasarani,0.0110736011415,2023.0,8.0,2023-08,0.0391587031784878,-7.398465391507501,-99.77692161319004
Nairobi,Kibra,0.00100197842996,2023.0,8.0,2023-08,7.275692780812582,-15.447188642886594,-67.976262762231
Nairobi,Kilimani,0.00238546350977,2023.0,8.0,2023-08,7.688976079825587,-16.611278185690228,-68.35311248010619
Nairobi,Langata,0.0170497156745,2023.0,8.0,2023-08,4.826541746759437,-14.190261344283725,-78.590992375024
Nairobi,Makadara,0.000974908477702,2023.0,8.0,2023-08,5.371415089338254,-11.048593113889227,-67.28360386713445
Nairobi,Mathare,0.000235884309461,2023.0,8.0,2023-08,3.1575697660446167,-12.646831052801147,-79.5426304243846
Nairobi,Roysambu,0.00390887981589,2023.0,8.0,2023-08,3.202580830545136,-13.656460671348512,-82.28582533799394
Nairobi,Ruaraka,0.000583416833502,2023.0,8.0,2023-08,0.136543557450578,-16.25709845517426,-99.11535699132476
Nairobi,Starehe,0.00136813789598,2023.0,8.0,2023-08,5.986029852520336,-12.540981936895804,-67.6548968242202
Nairobi,Westlands,0.00590790301496,2023.0,8.0,2023-08,6.413999413483896,-16.821621519503545,-73.08525173068554
Turkana,Loima,0.792863767753,2023.0,8.0,2023-08,6.877636493597104,-18.06871591235224,-82.0575134623168
Turkana,Turkana Central,0.538281501213,2023.0,8.0,2023-08,2.5486650154344543,-3.159018909092292,-89.52133286219504
Turkana,Turkana East,0.909087463502,2023.0,8.0,2023-08,15.3691510542191,-13.66859414239586,-49.18694785789175
Turkana,Turkana North,1.66897152383,2023.0,8.0,2023-08,9.821543703514518,-14.890766309858709,-71.63954570954628
Turkana,Turkana South,0.603285539944,2023.0,8.0,2023-08,8.757588469947114,-13.44858943551615,-70.99807556458919
Turkana,Turkana West,1.19593592043,2023.0,8.0,2023-08,9.363279382712197,-26.34781549417801,-80.99094601764915
Kiambu,Gatundu North,0.0190562071078,2023.0,9.0,2023-09,40.42201868488835,3.51428536592592,8.526261062733177
Kiambu,Gatundu South,0.018013492523,2023.0,9.0,2023-09,41.9081696132643,8.352351610925162,25.59066686274125
Kiambu,Githunguri,0.0140557399999,2023.0,9.0,2023-09,54.63448646710004,22.675896537338254,68.4549952608419
Kiambu,Juja,0.0303444523402,2023.0,9.0,2023-09,17.317581323779486,2.158316543571344,6.938482752046932
Kiambu,Kabete,0.00456838148631,2023.0,9.0,2023-09,41.8013080030732,17.85288402283322,74.25143594109961
Kiambu,Kiambaa,0.00720464174127,2023.0,9.0,2023-09,52.398267287048846,22.67021237637497,75.0002310504401
Kiambu,Kiambu,0.00796244668767,2023.0,9.0,2023-09,35.552789925584705,12.38527360961223,51.841893426813456
Kiambu,Kikuyu,0.0141641490709,2023.0,9.0,2023-09,36.18466562272183,17.965038712132955,101.55880204353092
Kiambu,Lari,0.037858207576,2023.0,9.0,2023-09,54.06520299196442,14.863860748851865,42.34727534259024
Kiambu,Limuru,0.0231553754199,2023.0,9.0,2023-09,43.72778944881116,20.631974001247823,92.18004282571847
Kiambu,Ruiru,0.0124421280679,2023.0,9.0,2023-09,14.3273391449938,2.51198944070767,16.92339569423362
Kiambu,Thika Town,0.0178033031507,2023.0,9.0,2023-09,8.261773012392885,-1.972148346267672,-24.23858678430035
Machakos,Kangundo,0.013896319438,2023.0,9.0,2023-09,0.382134224546601,-1.3586491200910158,-93.63700383791895
Machakos,Kathiani,0.0167415041685,2023.0,9.0,2023-09,4.088638133229315,-1.2760489692776038,-44.46755828003504
Machakos,Machakos Town,0.0615270519301,2023.0,9.0,2023-09,6.346370517916197,-0.2424531352636287,-11.614999297162818
Machakos,Masinga,0.11427469357,2023.0,9.0,2023-09,1.497583103675261,-1.3424748993675124,-82.52495478860091
Machakos,Matungulu,0.0472449879416,2023.0,9.0,2023-09,2.525232935607173,-2.5760207139328624,-63.973572213746365
Machakos,Mavoko,0.0684719511619,2023.0,9.0,2023-09,13.974832257965872,2.242743676933381,19.50030764576848
Machakos,Mwala,0.0827962943547,2023.0,9.0,2023-09,0.1878248453368236,-0.9117797534135662,-97.42638524614318
Machakos,Yatta,0.0862109028544,2023.0,9.0,2023-09,0.0,-1.3467749764254422,-100.0
Nairobi,Dagoretti,0.00198642271282,2023.0,9.0,2023-09,42.35782511900311,16.64252749758701,64.76000228358939
Nairobi,Embakasi Central,0.000664901959297,2023.0,9.0,2023-09,21.191558943854435,4.768135252576903,30.428325157886057
Nairobi,Embakasi East,0.00697580217167,2023.0,9.0,2023-09,22.03329783157106,5.187839224674039,32.031329296155725
Nairobi,Embakasi North,0.000441181256097,2023.0,9.0,2023-09,24.902260676297274,8.474280729972417,51.62453993536548
Nairobi,Embakasi South,0.00142609820487,2023.0,9.0,2023-09,27.295826721191407,5.686475564328711,26.61814769433266
Nairobi,Embakasi West,0.000793166442342,2023.0,9.0,2023-09,21.976693483499385,4.426366002842807,25.332520953936005
Nairobi,Kamukunji,0.000718135459802,2023.0,9.0,2023-09,21.70651865005493,4.081255734644152,23.15571548765764
Nairobi,Kasarani,0.0110736011415,2023.0,9.0,2023-09,15.395995673996577,3.874701790175794,28.917096433127057
Nairobi,Kibra,0.00100197842996,2023.0,9.0,2023-09,34.157316987476655,12.402663161916417,57.135855015245646
Nairobi,Kilimani,0.00238546350977,2023.0,9.0,2023-09,33.54408125909383,11.93272644878381,55.21998003537524
Nairobi,Langata,0.0170497156745,2023.0,9.0,2023-09,31.504950297192966,10.878308559373917,52.23012504607513
Nairobi,Makadara,0.000974908477702,2023.0,9.0,2023-09,22.794095642546303,4.308418875124533,23.28264924600985
Nairobi,Mathare,0.000235884309461,2023.0,9.0,2023-09,23.02362096309662,5.763668292112593,33.76764213576465
Nairobi,Roysambu,0.00390887981589,2023.0,9.0,2023-09,27.303525402570003,9.173580730624352,50.64085812089687
Nairobi,Ruaraka,0.000583416833502,2023.0,9.0,2023-09,25.12386519200093,8.446434262129838,50.68936300707045
Nairobi,Starehe,0.00136813789598,2023.0,9.0,2023-09,27.680125201290306,7.181024131970341,34.06481557044216
Nairobi,Westlands,0.00590790301496,2023.0,9.0,2023-09,34.18803764765695,11.710617159091582,51.79253942543899
Turkana,Loima,0.792863767753,2023.0,9.0,2023-09,6.035172448002686,-4.456541646098592,-69.22614600265936
Turkana,Turkana Central,0.538281501213,2023.0,9.0,2023-09,0.4497737860949186,-0.7501873694473034,-72.82580127253931
Turkana,Turkana East,0.909087463502,2023.0,9.0,2023-09,5.223956184687576,-1.3425618242070874,-26.74561932931062
Turkana,Turkana North,1.66897152383,2023.0,9.0,2023-09,12.208698645168637,-3.963034615986361,-43.18574281544334
Turkana,Turkana South,0.603285539944,2023.0,9.0,2023-09,5.560009706243698,-0.5290292237945811,-49.66245031670657
Turkana,Turkana West,1.19593592043,2023.0,9.0,2023-09,12.874402277005304,-13.209586361743437,-61.06927630179327
Kiambu,Gatundu North,0.0190562071078,2023.0,10.0,2023-10,130.43229460568037,-10.645327297790931,-6.892187648767089
Kiambu,Gatundu South,0.018013492523,2023.0,10.0,2023-10,105.60681953198086,-5.604258250672298,-4.318904570180592
Kiambu,Githunguri,0.0140557399999,2023.0,10.0,2023-10,79.36421449885016,-10.262616041662854,-11.543226491070936
Kiambu,Juja,0.0303444523402,2023.0,10.0,2023-10,57.974463697814535,-4.823477347621976,-8.474204402409114
Kiambu,Kabete,0.00456838148631,2023.0,10.0,2023-10,65.79878239205756,-12.46287909063293,-16.193215500436725
Kiambu,Kiambaa,0.00720464174127,2023.0,10.0,2023-10,71.39406663357224,-14.726071774911665,-17.26351782465167
Kiambu,Kiambu,0.00796244668767,2023.0,10.0,2023-10,58.97445377359296,-11.885745137479258,-16.85224906365168
Kiambu,Kikuyu,0.0141641490709,2023.0,10.0,2023-10,50.75395579423223,-5.663810396717421,-10.057429825396897
Kiambu,Lari,0.037858207576,2023.0,10.0,2023-10,107.76733957466324,-11.131757917465888,-9.229979853906231
