ADM1_EN,ADM2_EN,Shape_Area,Year,Month,Date,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent
Busia,Nambale,0.0188758420932,2004.0,1.0,2004-01,85.12161542526043,22.926761264260303,36.77077371022959
Busia,Teso North,0.0206426179286,2004.0,1.0,2004-01,63.41408857851649,9.113419059190921,16.769672990253603
Busia,Teso South,0.0247242584099,2004.0,1.0,2004-01,74.42216330386385,13.887682726932958,22.819764915351172
Elgeyo-Marakwet,Keiyo North,0.0440240261359,2004.0,1.0,2004-01,76.2333142913018,38.71840311263368,102.26878254767828
Elgeyo-Marakwet,Keiyo South,0.0720062256662,2004.0,1.0,2004-01,121.17161565758657,76.19392238542022,168.9785055373961
Elgeyo-Marakwet,Marakwet East,0.0658616684111,2004.0,1.0,2004-01,42.697675711577205,10.657919414518474,33.793189806030604
Elgeyo-Marakwet,Marakwet West,0.0625398702668,2004.0,1.0,2004-01,48.12279712419431,12.95416992341634,36.92838252988254
Embu,Gachoka,0.107518612795,2004.0,1.0,2004-01,29.4858790628161,2.85753054221191,11.345904356834152
Embu,Manyatta,0.0290955022547,2004.0,1.0,2004-01,43.67127506813321,3.6419475752413777,7.455913219014806
Embu,Runyenjes,0.0302085458561,2004.0,1.0,2004-01,40.18621081829072,6.385602104919498,20.47117410552537
Embu,Siakago,0.0625908880763,2004.0,1.0,2004-01,39.328648301199266,10.7729857141208,38.059047242762134
Garissa,Balambala,0.39324541533,2004.0,1.0,2004-01,16.326720158199883,6.851583925412896,76.50476642794679
Garissa,Dadaab,0.56261020054,2004.0,1.0,2004-01,10.276448244908693,5.813279441187589,148.4970435323984
Garissa,Dujis,0.046175643024,2004.0,1.0,2004-01,10.44052579420105,4.628814186422842,79.58255799881549
Garissa,Fafi,1.34739008043,2004.0,1.0,2004-01,13.116372564356428,4.098889484796768,51.334188536482216
Garissa,Ijara,0.668431351214,2004.0,1.0,2004-01,12.547016217273573,4.37633065016448,45.7596931592562
Garissa,Lagdera,0.52433513977,2004.0,1.0,2004-01,13.397374770023283,5.975062040171156,89.00002632005908
Homa Bay,Homa Bay,0.0218580740194,2004.0,1.0,2004-01,115.43928304902461,45.87278600723014,65.87919980899467
Homa Bay,Kabondo Kasipul,0.0200601455674,2004.0,1.0,2004-01,133.5914155858508,56.079736271616156,72.2867125698689
Homa Bay,Karachuonyo,0.0607537593273,2004.0,1.0,2004-01,112.67964053006204,45.836174896697706,68.44302295875876
Homa Bay,Kasipul,0.0209707005596,2004.0,1.0,2004-01,106.11952224185225,43.236307921701474,68.32756010632599
Homa Bay,Ndhiwa,0.0564996783879,2004.0,1.0,2004-01,108.99302546589666,42.944247889370864,64.17371695236639
Homa Bay,Rangwe,0.0236203949168,2004.0,1.0,2004-01,116.9372946596098,48.202086466369046,70.04927257966636
Homa Bay,Suba North,0.0853761413953,2004.0,1.0,2004-01,104.78983305213364,42.87147229532355,69.49274229964297
Homa Bay,Suba South,0.0953054053216,2004.0,1.0,2004-01,100.52394742882987,37.52414928273823,59.244302848625885
Isiolo,Isiolo North,1.24506356936,2004.0,1.0,2004-01,18.750621577853448,8.232014852113618,68.3290869797968
Isiolo,Isiolo South,0.818786695529,2004.0,1.0,2004-01,17.00561692980075,5.503161360512643,54.0089964620556
Kajiado,Kajiado Central,0.350019779384,2004.0,1.0,2004-01,77.35694739140573,26.428390465886757,52.352116673550086
Kajiado,Kajiado East,0.265712769388,2004.0,1.0,2004-01,77.21433771972536,35.987703163411034,89.65091030005941
Kajiado,Kajiado North,0.00913410522552,2004.0,1.0,2004-01,126.8022372525156,58.7552959797422,86.81938448858826
