S/No.,WRUA_NAME,SRO,Area,status,Basin (B),B_code,Areakm2,CentroidX,CentroidY,Subbasin
519,Laggah Gandi,Coastal Athi,240.8919983,Not Formed,ACA,20,241.06,39.521144,-2.826615,3HC
520,Boragi Waldena,Coastal Athi,267.2990112,Not Formed,ACA,20,267.47,39.702087,-2.752621,3HC
521,Alango,Coastal Athi,113.4329987,Not Formed,ACA,20,113.51,39.703908,-2.849532,3HC
522,Upper Gandi(Kore Laga),Coastal Athi,173.4689941,Not Formed,ACA,20,173.57,39.827017,-2.834319,3HC
523,Lower Gandi(Kore Laga),Coastal Athi,178.4219971,Not Formed,ACA,20,178.52,39.906151,-2.950441,3HC
524,Ngomeni,Coastal Athi,267.3580017,Not Formed,ACA,20,267.56,39.3259,-2.987879,3HC
525,Galana Maruvesa,Coastal Athi,195.8739929,Not Formed,ACA,20,196.03,39.272921,-3.080866,3HB
526,Galana Kilumani,Coastal Athi,258.0929871,Not Formed,ACA,20,258.28,39.43737,-3.095901,3HB
527,Upper Koromi,Coastal Athi,524.9429932,Not Formed,ACA,20,525.31,39.528038,-2.954279,3HC
528,Jilore Magogoni,Coastal Athi,108.6920013,Not Formed,ACA,20,108.76,39.719162,-2.982843,3HC
529,Mid Koromi,Coastal Athi,180.0410004,Not Formed,ACA,20,180.15,39.735981,-3.056024,3HC
530,Diririsa Wakala,Coastal Athi,202.0039978,Not Formed,ACA,20,202.13,39.785678,-2.959184,3HC
531,Galana Makongeni,Coastal Athi,260.0769958,Not Formed,ACA,20,260.25,39.621694,-3.120113,3HB
532,Galana Jilore,Coastal Athi,242.5299988,Not Formed,ACA,20,242.67,39.844153,-3.149288,3HD1
533,Lower Sabaki,Coastal Athi,176.6139984,Formed,ACA,20,176.7,40.049148,-3.209327,3HD1
534,Lower Koromi,Coastal Athi,145.6790009,Not Formed,ACA,20,145.76,39.941514,-3.082376,3HC
535,Mavula Marafa,Coastal Athi,153.5919952,Formed,ACA,20,153.66,40.034896,-3.05873,3HC
536,Shirango Kafuloni,Coastal Athi,240.7019958,Formed,ACA,20,240.89,39.121826,-3.544352,3LA
537,Voi Gedegede,Coastal Athi,246.0839996,Not Formed,ACA,20,246.27,39.31967,-3.488278,3LA
538,Garibete,Coastal Athi,191.8549957,Not Formed,ACA,20,192,39.302697,-3.402351,3LA
539,Upper Galana Muruphesa,Coastal Athi,131.7050018,Not Formed,ACA,20,131.81,39.209022,-3.161714,3HB
540,Kulalu Hills,Coastal Athi,156.6620026,Not Formed,ACA,20,156.78,39.260145,-3.245843,3LA
541,Goshi,Coastal Athi,178.727005,Not Formed,ACA,20,178.87,39.173743,-3.389802,3LA
542,Makongeni,Coastal Athi,118.7129974,Not Formed,ACA,20,118.8,39.503614,-3.251784,3LA
543,Voi Guruju,Coastal Athi,142.628006,Not Formed,ACA,20,142.73,39.429332,-3.318459,3LA
544,Upper Makongeni,Coastal Athi,184.8910065,Not Formed,ACA,20,185.03,39.347548,-3.197854,3LA
545,Baluchu,Coastal Athi,241.5590057,Not Formed,ACA,20,241.75,39.293978,-3.324484,3LA
546,Wachivu,Coastal Athi,249.9179993,Not Formed,ACA,20,250.09,39.575339,-3.212941,3LA
547,Voi Karimani,Coastal Athi,204.7850037,Not Formed,ACA,20,204.93,39.500253,-3.388395,3LA
548,Mwangea Jilore,Coastal Athi,180.3800049,Not Formed,ACA,20,180.49,39.805536,-3.216695,3HD1
549,Mwapera,Coastal Athi,138.8079987,Not Formed,ACA,20,138.89,39.805126,-3.28064,3HD1
550,Kafuloni,Coastal Athi,176.8000031,Not Formed,ACA,20,176.92,39.633299,-3.330445,3LA
551,Vitengeni Mirihini,Coastal Athi,178.7819977,Not Formed,ACA,20,178.91,39.588356,-3.451963,3LA
552,Vitengeni Mwangudo,Coastal Athi,121.0279999,Not Formed,ACA,20,121.11,39.717271,-3.36586,3LA
553,Muhoni,Coastal Athi,132.5079956,Not Formed,ACA,20,132.59,39.690286,-3.473442,3LA
554,Rare,Coastal Athi,227.8350067,Not Formed,ACA,20,227.97,39.781329,-3.465533,3LA
555,Mulungu wa Mawe/Njora,Coastal Athi,139.8860016,Not Formed,ACA,20,139.98,39.670544,-3.563207,3LA
556,Lower Ndzovuni,Coastal Athi,206.128006,Not Formed,ACA,20,206.27,39.666056,-3.649203,3LA
557,Chalani,Coastal Athi,105.3769989,Not Formed,ACA,20,105.45,39.634994,-3.723089,3LA
558,Ngomeni Mwakuhenga,Coastal Athi,223.6710052,Not Formed,ACA,20,223.81,39.774608,-3.717156,3MD1
559,Vipingo Takaungu Mitangoni,Coastal Athi,125.1949997,Not Formed,ACA,20,125.27,39.802335,-3.795021,3MD1
560,Kilifi,Coastal Athi,153.7960052,Not Formed,ACA,20,153.88,39.853649,-3.55141,3LB
561,Pongwe Kidimu,Coastal Athi,110.2080002,Formed,ACA,20,110.29,39.353437,-4.576004, 
562,Lungalunga Upper Umba,Coastal Athi,126.6869965,Formed,ACA,20,126.79,38.89244,-4.383381,3K
563,Wasini Island,Coastal Athi,7.337769985,Formed,ACA,20,7.34,39.376929,-4.662064, 
564,Middle Umba,Coastal Athi,88.41609955,Not Formed,ACA,20,88.48,39.054415,-4.528573,3K
565,Mombasa Isl.,Coastal Athi,14.59249973,Not Formed,ACA,20,14.6,39.661657,-4.052021, 
566,Marungu,Coastal Athi,361.0379944,Formed,ACA,20,361.32,38.868552,-3.599735,3LA
567,Lower Mwena,Coastal Athi,174.8099976,Formed,ACA,20,174.95,39.1939,-4.523355,3K
568,Mrima,Coastal Athi,146.5119934,Formed,ACA,20,146.63,39.264173,-4.501104,3K
569,Funzi Isl.,Coastal Athi,9.871879578,Not Formed,ACA,20,9.88,39.444805,-4.560576, 
570,Muhaka Ukunda,Coastal Athi,162.2319946,Not Formed,ACA,20,162.35,39.518255,-4.349103,3K
571,Tsavo,Coastal Athi,3845.899902,Not Formed,ACA,20,3848.9,38.790678,-3.368775,3LA
572,Nzovuni Gandini,Coastal Athi,128.1900024,Formed,ACA,20,128.28,39.491234,-4.055515,3MB
573,Buni,Coastal Athi,260.1570129,Formed,ACA,20,260.34,39.62107,-3.895549,3MD1
574,Arabuko Sokoke Mazrui,Coastal Athi,232.522995,Not Formed,ACA,20,232.65,39.889978,-3.412422,3LB
575,Kabateni,Coastal Athi,104.7460022,Not Formed,ACA,20,104.8,39.898806,-3.29355,3LB
576,Gede,Coastal Athi,237.0410004,Not Formed,ACA,20,237.15,40.026357,-3.285911,3LB
577,Lower Tsavo,Noltresh Lumi,1851.930054,Not Formed,ACA,20,1852.9,38.087609,-3.725202,3J
1183,Upper Konyao,Upper Turkwel,121.5589981,Not Formed,RVCA,20,121.06,34.999397,1.654226,2BC
1184,Kaptega,Upper Turkwel,158.1620026,Existing,RVCA,20,157.39,34.698919,1.186254,2BC
1185,Sarmach,Upper Turkwel,1078.780029,Existing,RVCA,20,1075.6,35.512715,1.764032,2BB
1186,Kameris,Upper Turkwel,224.7070007,Existing,RVCA,20,223.82,35.058478,1.855397,2BC
1187,Loam,Upper Turkwel,174.1349945,Not Formed,RVCA,20,173.53,35.266725,1.707543,2BC
1188,Siya Lomut,Upper Turkwel,352.0899963,Not Formed,RVCA,20,351.11,35.577502,1.439228,2BB
1189,Mosion,Upper Turkwel,141.8320007,Existing,RVCA,20,141.27,35.057738,1.384855,2BC
1190,Kapchemanget,Upper Turkwel,141.3659973,Not Formed,RVCA,20,140.77,34.961282,1.297561,2BC
1191,Naminit,Upper Turkwel,198.7050018,Not Formed,RVCA,20,197.83,34.867612,1.306622,2BC
1192,Upper Turkwel Dam,Upper Turkwel,216.0529938,Not Formed,RVCA,20,215.33,35.324672,1.788925,2BC
1193,Lower Turkwel Dam,Upper Turkwel,463.4039917,Existing,RVCA,20,461.88,35.36245,1.959719,2BC
1194,Kamokorio Muruny,Upper Turkwel,151.4230042,Existing,RVCA,20,150.93,35.369808,1.171344,2BA
1195,Ortum,Upper Turkwel,198.7799988,Not Formed,RVCA,20,198.13,35.349768,1.440975,2BA
1196,Suam Kongolai,Upper Turkwel,423.9649963,Not Formed,RVCA,20,422.22,34.987108,1.511709,2BC
1197,Araweet,Upper Turkwel,270.6059875,Existing,RVCA,20,269.58,35.136223,1.441296,2BC
1198,Upper Suam,Upper Turkwel,434.4909973,Not Formed,RVCA,20,432.88,35.151715,1.682126,2BC
1199,Lower Suam,Upper Turkwel,288.072998,Not Formed,RVCA,20,287.02,35.177767,1.927942,2BC
1200,Wei Wei,Upper Turkwel,307.0870056,Existing,RVCA,20,306.16,35.471957,1.393767,2BB
1201,Muruny,Upper Turkwel,336.3840027,Existing,RVCA,20,335.25,35.304801,1.544306,2BA
1202,Bendera,Upper Turkwel,245.2480011,Existing,RVCA,20,244.36,35.205105,1.381514,2BA
1203,Upper Muruny,Upper Turkwel,136.4669952,Existing,RVCA,20,136.02,35.359406,1.249987,2BA
1204,Siyoyowo,Upper Turkwel,105.6900024,Existing,RVCA,20,105.28,35.09192,1.767559,2BC
1205,Kasoghigh,Upper Turkwel,172.0749969,Existing,RVCA,20,171.38,35.034649,1.321108,2BC
1206,Kopulio_Upper Suam,Upper Turkwel,124.3219986,Existing,RVCA,20,123.77,34.87043,1.410338,2BC
1207,Sostin,Upper Turkwel,137.802002,Not Formed,RVCA,20,137.38,35.458448,1.55949,2BB
1208,Arrur,Upper Turkwel,113.3079987,Existing,RVCA,20,113,35.626109,1.585906,2BB
1209,Kamasian,Upper Turkwel,102.6330032,Existing,RVCA,20,102.28,35.278395,1.296698,2BA
1210,Chepkoghen,Lower Turkwel,138.5809937,Not Formed,RVCA,20,138.29,35.90457,1.571888,2CC
1211,Elelea,Lower Turkwel,284.105011,Not Formed,RVCA,20,283.63,36.152134,1.987317,2CC
1212,Kenalo,Lower Turkwel,622.0720215,Formed,RVCA,20,620.67,35.81053,3.347558,2AB
1213,Embasos,Lower Turkwel,341.4880066,Not Formed,RVCA,20,340.21,35.143453,2.278499,2BD
1214,Akiriamet,Lower Turkwel,533.2470093,Not Formed,RVCA,20,531.92,35.731156,1.321186,2CC
1215,Emuru Akachomin,Lower Turkwel,575.7789917,Not Formed,RVCA,20,574.87,36.222093,2.343882,2CC
1216,Kabanyet Loesokon Kamakun,Lower Turkwel,646.0469971,Not Formed,RVCA,20,644.59,35.848294,1.764691,2CC
1217,Kochodin,Lower Turkwel,396.0849915,Formed,RVCA,20,395.14,35.774887,2.177864,2CC
1218,Kahawat,Lower Turkwel,1418.900024,Not Formed,RVCA,20,1414.67,35.487453,3.457598,2AB
1219,Kailongol Loperot,Lower Turkwel,306.2109985,Not Formed,RVCA,20,305.51,35.82924,2.01821,2CC
1220,Kakuma,Lower Turkwel,5746.799805,Not Formed,RVCA,20,5720.15,34.765448,3.54042,2J
1221,Kalachora,Lower Turkwel,517.117981,Not Formed,RVCA,20,515.88,35.769397,4.110468,2AB
1222,Kalapata,Lower Turkwel,690.8339844,Not Formed,RVCA,20,689.44,35.969252,2.386499,2CC
1223,Kalimapus,Lower Turkwel,936.0130005,Not Formed,RVCA,20,933.51,35.620062,3.737503,2AB
1224,Kalodir kangebet,Lower Turkwel,452.5029907,Not Formed,RVCA,20,451.65,36.041259,2.066395,2CC
1225,Kalokol - Napasinyang,Lower Turkwel,907.0800171,Formed,RVCA,20,904.72,35.668423,3.531487,2AB
1226,Kalotimari,Lower Turkwel,373.3760071,Not Formed,RVCA,20,372.85,36.318838,2.437519,2CC
1227,Kamarese Ekarioko,Lower Turkwel,463.9920044,Not Formed,RVCA,20,462.81,35.703579,2.273138,2CC
1228,Kangalema,Lower Turkwel,5484.879883,Not Formed,RVCA,20,5465.26,35.237658,4.572928,2J
1229,Kapchorio Kamila,Lower Turkwel,479.8259888,Not Formed,RVCA,20,477.96,35.089491,2.0662,2BD
1230,Kapete Nanam,Lower Turkwel,1105.98999,Not Formed,RVCA,20,1099.34,34.270196,4.058905,2J
1231,Karosogoi,Lower Turkwel,172.5169983,Not Formed,RVCA,20,172.16,35.943906,1.703286,2CC
1232,Kataboi,Lower Turkwel,440.8179932,Not Formed,RVCA,20,439.68,35.680162,3.873946,2AB
1233,Kibish North,Lower Turkwel,4070.350098,Not Formed,RVCA,20,4057.79,35.44893,5.116445,2J
1234,Kotaruk Longenya,Lower Turkwel,357.322998,Not Formed,RVCA,20,356.09,35.292781,2.419791,2BD
1235,Lake Turkana South,Lower Turkwel,829.8079834,Not Formed,RVCA,20,828.96,36.570456,2.497311, 
1236,Lake Turkana N. East,Lower Turkwel,7091.819824,Not Formed,RVCA,20,7084.23,36.565945,3.999555,2AA
1237,Lake Turkana S. East,Lower Turkwel,3611.169922,Not Formed,RVCA,20,3607.56,36.579334,3.025055,2AA
1238,Lesokoit Achara,Lower Turkwel,436.8210144,Not Formed,RVCA,20,435.49,35.442293,2.467649,2BD
1239,Lokanam,Lower Turkwel,636.9160156,Formed,RVCA,20,635.34,35.741308,3.165712,2BD
1240,Lokichokio,Lower Turkwel,881.1610107,Not Formed,RVCA,20,875.72,34.209076,4.297695,2J
1241,Lokori,Lower Turkwel,306.8059998,Not Formed,RVCA,20,306.16,35.925032,1.948363,2CC
1242,Lokorokoro,Lower Turkwel,244.9100037,Not Formed,RVCA,20,244.49,36.146565,2.187386,2CC
1243,Lokoyam,Lower Turkwel,412.6440125,Not Formed,RVCA,20,411.03,35.085257,2.513993,2BD
1244,Lomekwi,Lower Turkwel,449.4830017,Not Formed,RVCA,20,448.39,35.745839,3.953957,2AB
1245,Loporor Locatur,Lower Turkwel,368.9649963,Not Formed,RVCA,20,368.24,35.992697,2.225757,2CC
1246,Middle Turkwel,Lower Turkwel,1371.619995,Formed,RVCA,20,1366.03,35.052818,2.901325,2BD
1247,Lotagipi Swamp,Lower Turkwel,4391.410156,Not Formed,RVCA,20,4370.22,34.666767,4.34982,2J
1248,Lower Kawalathe,Lower Turkwel,1524.589966,Formed,RVCA,20,1519.52,35.325823,3.207262,2BD
1249,Lower Lokichar,Lower Turkwel,2615.72998,Not Formed,RVCA,20,2609.64,35.825789,2.877745,2CA
1250,Middle Lokichar,Lower Turkwel,876.8400269,Not Formed,RVCA,20,874.72,35.754421,2.579225,2CA
1251,Molirem,Lower Turkwel,203.3139954,Not Formed,RVCA,20,202.95,36.106567,1.863005,2CC
1252,Nachoo,Lower Turkwel,667.1409912,Not Formed,RVCA,20,664.93,35.33958,2.569273,2BD
1253,Nachui Loelilia,Lower Turkwel,1020.190002,Not Formed,RVCA,20,1018.54,36.197188,2.825088,2CC
1254,Nagorum,Lower Turkwel,1918.280029,Not Formed,RVCA,20,1908.21,34.539772,4.528424,2J
1255,Nakoret,Lower Turkwel,338.9909973,Not Formed,RVCA,20,338.52,36.329593,2.603908,2CC
1256,Nakwamoru,Lower Turkwel,473.8770142,Not Formed,RVCA,20,472.34,35.355742,2.117616,2BD
1257,Napeitau Lotubai,Lower Turkwel,287.3460083,Not Formed,RVCA,20,286.92,36.268534,1.940071,2CC
1258,Natome,Lower Turkwel,766.6030273,Not Formed,RVCA,20,765.26,36.110578,2.60022,2CC
1259,Nawakiring Kasageru,Lower Turkwel,3100.620117,Not Formed,RVCA,20,3089.66,35.258778,3.853598,2J
1260,Ngiboloini Naitai,Lower Turkwel,325.4530029,Not Formed,RVCA,20,325,36.31708,2.150199,2CC
1261,Tarach,Lower Turkwel,911.5900269,Not Formed,RVCA,20,906.8,34.549181,3.706191,2J
1262,Lower Turkwel,Lower Turkwel,788.8790283,Formed,RVCA,20,786.39,35.370729,2.929611,2BD
1263,Upper Kawalase,Lower Turkwel,1249.569946,Formed,RVCA,20,1244.77,35.112588,3.389523,2BD
1264,Upper Lokichar,Lower Turkwel,360.4530029,Not Formed,RVCA,20,359.57,35.743597,2.429062,2CA
1265,Korinyang,Lower Turkwel,1046.329956,Formed,RVCA,20,1043.48,35.603191,2.006135,2BD
1266,Ngeleyo,Lower Turkwel,515.2390137,Not Formed,RVCA,20,514.03,35.793581,1.437266,2CC
1267,Lopirichich,Lower Turkwel,1097.180054,Not Formed,RVCA,20,1093.48,35.29419,2.746924,2BD
1268,Alale,Lower Turkwel,431.8789978,Not Formed,RVCA,20,430.14,35.026129,2.242573,2BD
1269,Amaler,Lower Turkwel,153.8079987,Not Formed,RVCA,20,153.43,35.749754,1.660223,2CC
1270,Kamnias Pelpel,Lower Turkwel,213.5039978,Not Formed,RVCA,20,213.01,35.816576,1.537276,2CC
1271,Lorugum,Lower Turkwel,960.1099854,Formed,RVCA,20,956.16,35.003375,2.618505,2BD
1272,Eliye Springs,Lower Turkwel,442.9509888,Formed,RVCA,20,442.1,36.015553,3.203551,2BD
1273,Loarengak,Lower Turkwel,520.3239746,Not Formed,RVCA,20,519.16,35.837122,4.291347,2AB
1274,Kolok Lokopel,Lower Turkwel,806.5300293,Not Formed,RVCA,20,803.99,35.410494,2.280524,2BD
1275,Tondenyang,Lower Turkwel,2036.589966,Not Formed,RVCA,20,2031.48,35.710281,4.457192,2AB
1276,Kibish South,Lower Turkwel,2075.72998,Not Formed,RVCA,20,2070.45,35.687522,4.820207,2AB
1277,Emugur Ndupa,South Rift Valley,1243.410034,Not Formed,RVCA,20,1241.61,36.293493,-1.393486,2H
1278,Enosagami,South Rift Valley,579.40802,Formed,RVCA,20,577.91,35.690147,-0.803046,2KA
1279,Lodariak,South Rift Valley,394.3410034,Not Formed,RVCA,20,393.96,36.601396,-1.515522,2H
1280,Lake Magadi,South Rift Valley,1196.430054,Not Formed,RVCA,20,1194.64,36.26634,-1.768116,2H
1281,Olorte Loita,South Rift Valley,516.6229858,Formed,RVCA,20,515.4,35.79564,-1.902359,2KC
1282,Middle Ewaso Nyiro,South Rift Valley,1032.72998,Not Formed,RVCA,20,1030.9,36.090164,-1.265602,2KB
1283,Naroosura,South Rift Valley,719.9849854,Formed,RVCA,20,718.45,35.90526,-1.576759,2KB
1284,Elangata Wuas/Toroka,South Rift Valley,617.4879761,Not Formed,RVCA,20,616.86,36.569494,-1.942934,2H
1285,Siyiapei,South Rift Valley,1499.050049,Formed,RVCA,20,1496.11,36.004809,-0.955853,2KA
1286,Upper Ewuaso Nyiro,South Rift Valley,1096.76001,Formed,RVCA,20,1093.88,35.670915,-1.159875,2KA
1287,Enkare Nairowua,South Rift Valley,758.15802,Not Formed,RVCA,20,756.42,35.829755,-1.357429,2KA
1288,Pagasi,South Rift Valley,353.1749878,Not Formed,RVCA,20,352.47,35.977592,-1.999701,2KC
1289,Enoosupukia,South Rift Valley,948.2609863,Formed,RVCA,20,946.93,36.321262,-1.014049,2H
1290,Enkare Narok,South Rift Valley,1185.430054,Formed,RVCA,20,1182.72,35.821133,-0.852179,2KA
1291,Kijabe Ewuaso Kedong,South Rift Valley,777.6950073,Formed,RVCA,20,776.85,36.508032,-1.082042,2H
1292,Kitilikini Namuncha Ewuaso Kedong,South Rift Valley,903.2589722,Formed,RVCA,20,902.23,36.486465,-1.456792,2H
1293,Lower Engare Ngiro,South Rift Valley,719.6409912,Not Formed,RVCA,20,718.37,36.081044,-1.969002,2KC
1294,Entasopia,South Rift Valley,803.9949951,Formed,RVCA,20,802.41,35.99301,-1.738114,2KC
1295,Torosei,South Rift Valley,526.4650269,Not Formed,RVCA,20,525.7,36.300969,-2.223221,2H
1296,Susunkat,South Rift Valley,380.2290039,Not Formed,RVCA,20,379.75,36.414421,-2.009627,2H
1297,Olkenju Ngiro,South Rift Valley,560.8889771,Not Formed,RVCA,20,560.28,36.527973,-1.752589,2H
1298,Lower Lomgusua,South Rift Valley,426.0820007,Not Formed,RVCA,20,425.63,36.539327,-2.193741,2H
1299,Upper Lomgusua,South Rift Valley,411.2359924,Not Formed,RVCA,20,410.85,36.617975,-2.019335,2H
1300,Menengai Creater WRU,'Naivash-Nakuru,139.397995,Not Formed,RVCA,20,139.15,36.104361,-0.19655,2FB
1301,Mbaruk Mereroni,'Naivash-Nakuru,317.5299988,Formed,RVCA,20,317.04,36.242893,-0.354442,2FA
1302,Kariandusi,'Naivash-Nakuru,187.6670074,Formed,RVCA,20,187.39,36.272683,-0.558795,2FA
1303,Wanjohi,'Naivash-Nakuru,175.7169952,Formed,RVCA,20,175.53,36.545982,-0.336604,2GB
1304,Mkungi Kitiri,'Naivash-Nakuru,424.5469971,Formed,RVCA,20,424.11,36.56186,-0.494992,2GC
1305,Kianjogu,'Naivash-Nakuru,100.1110001,Formed,RVCA,20,100,36.479765,-0.359922,2GB
1306,Upper Turasha,'Naivash-Nakuru,291.1480103,Not Formed,RVCA,20,290.85,36.573255,-0.63637,2GC
1307,Upper Malewa,'Naivash-Nakuru,190.7579956,Formed,RVCA,20,190.53,36.46207,-0.236114,5AA
1308,Upper Gilgil,'Naivash-Nakuru,122.1780014,Formed,RVCA,20,122,36.290002,-0.293194,2GA
1309,Middle Malewa,'Naivash-Nakuru,331.3080139,Formed,RVCA,20,330.87,36.365013,-0.316533,2GB
1310,Lower Gilgil,'Naivash-Nakuru,164.5720062,Formed,RVCA,20,164.35,36.356837,-0.518904,2GA
1311,Lower Malewa,'Naivash-Nakuru,149.173996,Formed,RVCA,20,148.99,36.43365,-0.548879,2GB
1312,Karati Longonot,'Naivash-Nakuru,377.5750122,Formed,RVCA,20,377.15,36.487718,-0.780989,2GD
1313,Mariba,'Naivash-Nakuru,376.8569946,Formed,RVCA,20,376.25,36.201622,-0.763747,2GD
1314,Ngosur,'Naivash-Nakuru,140.753006,Formed,RVCA,20,140.52,36.156149,-0.240811,2FC
1315,Njoro,'Naivash-Nakuru,409.7309875,Formed,RVCA,20,408.9,35.969605,-0.38623,2FC
1316,Upper Nderit,'Naivash-Nakuru,408.5899963,Formed,RVCA,20,407.88,36.117729,-0.594048,2FC
1317,Makalia,'Naivash-Nakuru,450.0899963,Formed,RVCA,20,449.23,36.021606,-0.467643,2FC
1318,Lower Nderit,'Naivash-Nakuru,197.2059937,Not Formed,RVCA,20,196.87,36.156435,-0.412856,2FC
1319,LANA,'Naivash-Nakuru,567.3430176,Formed,RVCA,20,566.57,36.334499,-0.738315,2GD
1320,Kimerer/Mong,Lake Baringo-Bogoria,414.7680054,Formed,RVCA,20,413.64,35.609052,0.224681,2CB
1321,Suguta,Lake Baringo-Bogoria,7180.290039,Not Formed,RVCA,20,7171.77,36.461944,1.816742,2D
1322,Kakipinet,Lake Baringo-Bogoria,203.7610016,Not Formed,RVCA,20,203.55,36.565905,1.413618,2D
1323,Sekut Adume,Lake Baringo-Bogoria,305.4890137,Not Formed,RVCA,20,305.09,36.37349,1.395454,2D
1324,Lomelo,Lake Baringo-Bogoria,166.6799927,Not Formed,RVCA,20,166.4,36.142165,1.377044,2D
1325,Kamusing,Lake Baringo-Bogoria,168.7949982,Not Formed,RVCA,20,168.48,36.047953,1.287788,2D
1326,Upper Kerio,Lake Baringo-Bogoria,1235.780029,Not Formed,RVCA,20,1232.73,35.73822,1.070381,2CC
1327,Embobut,Lake Baringo-Bogoria,178.1419983,Formed,RVCA,20,177.65,35.593547,1.220536,2CC
1328,Arror,Lake Baringo-Bogoria,292.1929932,Formed,RVCA,20,291.35,35.532634,1.082706,2CC
1329,Nabukut,Lake Baringo-Bogoria,238.4609985,Not Formed,RVCA,20,238.21,36.537318,1.29977,2D
1330,Gerau,Lake Baringo-Bogoria,275.5629883,Not Formed,RVCA,20,275.24,36.438852,1.223345,2D
1331,Locoom Kalonangi,Lake Baringo-Bogoria,328.7420044,Not Formed,RVCA,20,328.25,36.261855,1.270203,2D
1332,Nasurut,Lake Baringo-Bogoria,389.506012,Not Formed,RVCA,20,388.98,36.354075,1.147094,2D
1333,Kapedo,Lake Baringo-Bogoria,157.0039978,Not Formed,RVCA,20,156.71,36.057442,1.170553,2D
1334,Sukuta Kavetereng,Lake Baringo-Bogoria,259.0320129,Not Formed,RVCA,20,258.59,36.131155,1.230278,2D
1335,Orus Silali,Lake Baringo-Bogoria,131.5679932,Not Formed,RVCA,20,131.36,36.217649,0.972538,2D
1336,Amaya,Lake Baringo-Bogoria,201.2129974,Not Formed,RVCA,20,200.87,36.141421,1.061812,2D
1337,Orus Kajam Amuk,Lake Baringo-Bogoria,188.7350006,Not Formed,RVCA,20,188.45,36.259124,1.038767,2D
1338,Nginyang,Lake Baringo-Bogoria,124.2399979,Not Formed,RVCA,20,124,36.02985,1.047692,2D
1339,Loiyamarok,Lake Baringo-Bogoria,154.0420074,Not Formed,RVCA,20,153.77,36.106608,0.951849,2D
1340,Lukwalipit,Lake Baringo-Bogoria,118.1050034,Not Formed,RVCA,20,117.87,35.968984,1.120972,2D
1341,Cheptopokwa,Lake Baringo-Bogoria,255.5119934,Not Formed,RVCA,20,254.96,35.909818,1.044431,2D
1342,Tinka Laibor Nkare,Lake Baringo-Bogoria,246.1439972,Not Formed,RVCA,20,245.88,36.535641,1.024079,2D
1343,Merkesi,Lake Baringo-Bogoria,267.6140137,Not Formed,RVCA,20,267.29,36.426986,1.007625,2D
1344,Amaya Langarbe,Lake Baringo-Bogoria,356.4660034,Not Formed,RVCA,20,356.04,36.43482,0.840507,2D
1345,Komol Amuruth,Lake Baringo-Bogoria,179.6150055,Not Formed,RVCA,20,179.35,36.271976,0.887813,2D
1346,Tangulbei,Lake Baringo-Bogoria,1388.97998,Not Formed,RVCA,20,1386.99,36.291675,0.618693,2EJ
1347,Komol Adome Yantilam,Lake Baringo-Bogoria,196.9369965,Not Formed,RVCA,20,196.6,36.141423,0.825017,2D
1348,Korosi Chebungus,Lake Baringo-Bogoria,191.4750061,Not Formed,RVCA,20,191.11,36.036559,0.837643,2D
1349,Barasuswa,Lake Baringo-Bogoria,202.3190002,Not Formed,RVCA,20,201.9,35.935264,0.881993,2D
1350,Yatya,Lake Baringo-Bogoria,122.4759979,Not Formed,RVCA,20,122.21,35.894131,0.802076,2D
1351,Sopilo,Lake Baringo-Bogoria,169.7230072,Not Formed,RVCA,20,169.35,35.887548,0.694274,2D
1352,Bartabwa,Lake Baringo-Bogoria,142.9299927,Not Formed,RVCA,20,142.62,35.901965,0.911493,2D
1353,Beregei-Ainob Kimotoi,Lake Baringo-Bogoria,363.8340149,Formed,RVCA,20,362.93,35.70524,0.694974,2CB
1354,Emsoo,Lake Baringo-Bogoria,439.2189941,Formed,RVCA,20,438.08,35.673174,0.833658,2CB
1355,Ngaratuko,Lake Baringo-Bogoria,143.7120056,Not Formed,RVCA,20,143.42,35.966289,0.685931,2D
1356,Kathiorin,Lake Baringo-Bogoria,183.701004,Not Formed,RVCA,20,183.34,35.999931,0.652685,2D
1357,Rongai,Lake Baringo-Bogoria,1273.869995,Formed,RVCA,20,1271.02,35.85927,-0.189506,2EG1
1358,Olarabel River,Lake Baringo-Bogoria,512.4439697,Formed,RVCA,20,511.66,36.236885,0.341403,2EK
1359,L. Baringo,Lake Baringo-Bogoria,257.3500061,Not Formed,RVCA,20,256.89,36.092452,0.614238, 
1360,Molo River,Lake Baringo-Bogoria,747.9959717,Formed,RVCA,20,746.49,35.981448,0.218924,2EG2
1361,Endao,Lake Baringo-Bogoria,468.7269897,Formed,RVCA,20,467.71,35.90348,0.525951,2EH
1362,Kamnarok,Lake Baringo-Bogoria,454.5639954,Not Formed,RVCA,20,453.35,35.634895,0.567269,2CB
1363,Turukwei,Lake Baringo-Bogoria,119.4400024,Formed,RVCA,20,119.13,35.686897,0.410186,2CB
1364,Mbara-Kaptich,Lake Baringo-Bogoria,197.1519928,Formed,RVCA,20,196.63,35.656501,0.457387,2CB
1365,Kong'asis,Lake Baringo-Bogoria,275.1919861,Formed,RVCA,20,274.52,35.745491,0.293992,2CB
1366,Chemususu Basin,Lake Baringo-Bogoria,251.3529968,Formed,RVCA,20,250.77,35.792738,0.209203,2EE
