County,SubCounty,panel_date,Year,Month,Population_Density_per_SqKm,Total_Population,total_abstraction_m3_per_day,wrua_count,Mean_NDVI,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent,conflict_onset,conflict_persistence,conflict_severity_weighted
Machakos,Masinga,2021-08-01,2021,8,106,148522,40.0,7.0,0.3108335902049828,5.652281578277287,-0.8415519986424558,-40.98882457156984,False,0.9835326272521907,0.2865487510219644
Machakos,Masinga,2021-09-01,2021,9,106,148522,40.0,7.0,0.2805311256319595,0.9542078332557574,-1.885850169787016,-85.01017021036913,False,0.9451645405533328,0.2753703447159363
Machakos,Masinga,2021-10-01,2021,10,106,148522,40.0,7.0,0.3143518957071206,38.49485716506056,-33.986817301827806,-47.040942156011965,False,0.9094598507075197,0.2649679096594317
Machakos,Masinga,2021-11-01,2021,11,106,148522,40.0,7.0,0.3540826177976755,138.17581339536284,-72.24962678129931,-34.4895111601554,False,0.8739813790897916,0.2546313824832759
Machakos,Masinga,2021-12-01,2021,12,106,148522,40.0,7.0,0.5817985060963325,142.76157178588193,55.49883329202985,63.16430563703209,False,0.8409657159618156,0.2450123858467184
Machakos,Masinga,2022-01-01,2022,1,106,148522,40.0,7.0,0.587936935430755,25.37590590855752,-2.408681137441825,-7.376048764315269,False,0.8081592338922414,0.23545433337140326
Machakos,Masinga,2022-02-01,2022,2,106,148522,40.0,7.0,0.450355429709023,17.783164014677592,-3.622420972487173,-17.200560616850055,False,0.776632548662602,0.2262691451772354
Machakos,Masinga,2022-03-01,2022,3,106,148522,40.0,7.0,0.4042878081663965,38.82870927930209,-49.59527278129519,-56.31873180418783,False,0.7492152783503541,0.21828122047934756
Machakos,Masinga,2022-04-01,2022,4,106,148522,40.0,7.0,0.4716367279535267,203.70756587648657,-14.049300504149556,-5.797791938051757,False,0.7199880255278766,0.20976596378117127
Machakos,Masinga,2022-05-01,2022,5,106,148522,40.0,7.0,0.5427514189869959,29.42957759469832,-52.63667565422411,-64.08445447697133,False,0.6927896404412732,0.2018418105193169
Machakos,Masinga,2022-06-01,2022,6,106,148522,40.0,7.0,0.3941355143484454,2.7221581403207376,-2.926596358438063,-61.509658272300776,False,0.6657635792288619,0.1939678632084934
Machakos,Masinga,2022-07-01,2022,7,106,148522,40.0,7.0,0.2871818938979818,8.232630535010816,0.0029027902188121,-14.001508144375242,False,0.6406135856699746,0.1866405015706351
Machakos,Masinga,2022-08-01,2022,8,106,148522,40.0,7.0,0.3074998608424427,7.055364779867953,0.561531202948212,-4.914601465866809,False,0.615622937760183,0.1793595647238454
Machakos,Masinga,2022-09-01,2022,9,106,148522,40.0,7.0,0.2878609362487386,2.634096402456607,-0.2059616005861669,65.19638777311228,False,0.591607187194003,0.1723626607687421
Machakos,Masinga,2022-10-01,2022,10,106,148522,40.0,7.0,0.2551308339546914,29.59280411008323,-42.88887035680512,-58.33907316253477,True,0.5692585375959662,0.16585146078218294
Machakos,Masinga,2022-11-01,2022,11,106,148522,40.0,7.0,0.4090168819784056,246.51691753193936,36.09147735527727,18.156702725983543,False,1.5242114532905713,0.15938151453932048
Machakos,Masinga,2022-12-01,2022,12,106,148522,40.0,7.0,0.5690917217241406,38.964589890812896,-48.298148603039145,-55.33952526351724,False,1.4666325928232544,0.15336069245002484
Machakos,Masinga,2023-01-01,2023,1,106,148522,40.0,7.0,0.448606728706884,22.743295298487865,-5.0412917475114885,-17.620991683712578,False,1.4094185412324833,0.1473780171619069
Machakos,Masinga,2023-02-01,2023,2,106,148522,40.0,7.0,0.3354310955640915,2.5703098020229973,-18.83527518514177,-89.34834252639187,False,1.3544364376534024,0.14162872894991152
Machakos,Masinga,2023-03-01,2023,3,106,148522,40.0,7.0,0.335354080131061,88.15462206067139,-0.2693599999258663,-0.5665236063918803,False,1.3066210969290797,0.13662884431684202
Machakos,Masinga,2023-04-01,2023,4,106,148522,40.0,7.0,0.5417698634519932,244.00601462479108,26.24914824415502,12.621891031328971,False,1.2556491717072462,0.13129888657160774
Machakos,Masinga,2023-05-01,2023,5,106,148522,40.0,7.0,0.5613576956999836,53.73627707674234,-28.32997617218008,-34.496225353898055,False,1.208215563793102,0.1263389184168616
