Record_ID,geo_county,geo_subcounty
KEN-MCK-069,Machakos,Mavoko
KEN-MCK-070,Machakos,Mavoko
KEN-MCK-071,Machakos,Mavoko
KEN-MCK-072,Machakos,Mwala
KEN-MCK-073,Machakos,Mavoko
KEN-MCK-074,Machakos,Machakos Town
KEN-MCK-075,Machakos,Machakos Town
KEN-MCK-076,Machakos,Yatta
KEN-MCK-078,Machakos,Mavoko
KEN-MCK-081,Machakos,Mavoko
KEN-MCK-082,Machakos,Mavoko
KEN-MCK-083,Machakos,Mavoko
KEN-MCK-084,Machakos,Mavoko
KEN-MCK-085,Machakos,Mavoko
KEN-MCK-086,Machakos,Mavoko
KEN-MCK-087,Machakos,Mavoko
KEN-MCK-088,Machakos,Mavoko
KEN-MCK-089,Machakos,Mavoko
KEN-MCK-090,Machakos,Mavoko
KEN-KBU-075,Machakos,Mavoko
KEN-MCK-091,Machakos,Mavoko
KEN-MCK-092,Machakos,Mavoko
KEN-MCK-093,Machakos,Mwala
KEN-MCK-094,Machakos,Mavoko
KEN-MCK-095,Machakos,Mavoko
KEN-MCK-096,Machakos,Mavoko
KEN-MCK-097,Machakos,Mavoko
KEN-MCK-098,Machakos,Mavoko
KEN-MCK-099,Machakos,Mavoko
KEN-MCK-100,Machakos,Mavoko
KEN-MCK-101,Machakos,Mavoko
KEN-MCK-102,Machakos,Mavoko
KEN-MCK-103,Machakos,Mavoko
KEN-MCK-104,Machakos,Mavoko
KEN-MCK-105,Machakos,Mavoko
KEN-MCK-107,Machakos,Mavoko
KEN-MCK-108,Machakos,Mavoko
KEN-NBI-211,Machakos,Mavoko
KEN-NBI-212,Machakos,Mavoko
KEN-MCK-109,Machakos,Mavoko
KEN-MCK-110,Machakos,Mavoko
KEN-MCK-111,Machakos,Mavoko
KEN-MCK-112,Machakos,Mavoko
KEN-MCK-113,Machakos,Mavoko
KEN-MCK-114,Machakos,Mavoko
KEN-MCK-115,Machakos,Mavoko
KEN-MCK-116,Machakos,Mavoko
KEN-MCK-117,Machakos,Mavoko
KEN-MCK-118,Machakos,Mavoko
KEN-MCK-119,Machakos,Machakos Town
KEN-MCK-120,Machakos,Machakos Town
KEN-MCK-121,Machakos,Mavoko
KEN-MCK-122,Machakos,Yatta
KEN-NBI-237,Machakos,Kathiani
KEN-KBU-101,Nairobi,Embakasi East
KEN-MCK-123,Machakos,Mavoko
KEN-MCK-124,Machakos,Mavoko
KEN-MCK-125,Machakos,Machakos Town
KEN-MCK-126,Machakos,Machakos Town
KEN-NBI-254,Machakos,Mavoko
KEN-MCK-128,Machakos,Masinga
KEN-MCK-130,Machakos,Machakos Town
KEN-MCK-131,Machakos,Mavoko
KEN-MCK-132,Machakos,Mavoko
KEN-MCK-133,Machakos,Mavoko
KEN-MCK-134,Machakos,Mavoko
KEN-MCK-135,Machakos,Mavoko
KEN-MCK-136,Machakos,Mavoko
KEN-MCK-137,Machakos,Mavoko
KEN-MCK-138,Machakos,Machakos Town
KEN-MCK-139,Machakos,Mavoko
KEN-MCK-140,Machakos,Mavoko
KEN-MCK-141,Machakos,Machakos Town
KEN-MCK-142,Machakos,Mavoko
KEN-MCK-143,Machakos,Mavoko
KEN-MCK-144,Machakos,Mavoko
KEN-MCK-145,Machakos,Mavoko
KEN-MCK-146,Machakos,Mavoko
KEN-MCK-147,Machakos,Yatta
KEN-MCK-148,Machakos,Mavoko
KEN-MCK-149,Machakos,Mavoko
KEN-MCK-150,Machakos,Mavoko
KEN-MCK-151,Machakos,Mavoko
KEN-MCK-152,Machakos,Mavoko
KEN-MCK-153,Machakos,Mavoko
KEN-MCK-154,Machakos,Mavoko
KEN-MCK-155,Machakos,Mavoko
KEN-MCK-156,Machakos,Mavoko
KEN-MCK-157,Machakos,Mavoko
KEN-MCK-158,Machakos,Mavoko
KEN-MCK-159,Machakos,Mavoko
KEN-MCK-161,Machakos,Mavoko
KEN-MCK-162,Machakos,Mavoko
KEN-MCK-163,Machakos,Mavoko
KEN-MCK-164,Machakos,Mavoko
KEN-MCK-165,Machakos,Machakos Town
KEN-MCK-166,Machakos,Mavoko
KEN-MCK-167,Machakos,Mavoko
KEN-MCK-168,Machakos,Mavoko
KEN-MCK-169,Machakos,Mavoko
KEN-MCK-170,Machakos,Mavoko
KEN-MCK-171,Machakos,Mavoko
KEN-MCK-172,Machakos,Mavoko
KEN-MCK-173,Machakos,Mavoko
KEN-NBI-357,Machakos,Mavoko
KEN-MCK-174,Machakos,Mavoko
KEN-MCK-175,Machakos,Mavoko
KEN-MCK-176,Machakos,Mavoko
KEN-MCK-177,Machakos,Mavoko
KEN-MCK-178,Machakos,Mavoko
