County,SubCounty,panel_date,Year,Month,Population_Density_per_SqKm,Total_Population,total_abstraction_m3_per_day,wrua_count,Mean_NDVI,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent,conflict_onset,conflict_persistence,conflict_severity_weighted
Turkana,Loima,2010-12-01,2010,12,12,107795,3419.0088,6.0,0.2015027085341774,2.765538639043085,-10.257636337821788,-82.81760096043277,False,0.9124710497901608,0.964114299821656
Turkana,Loima,2011-01-01,2011,1,12,107795,3419.0088,6.0,0.1920716325527667,0.5490575506066389,-3.1736009061199284,-87.57607736919844,False,0.8656051617934444,0.9017411247200132
Turkana,Loima,2011-02-01,2011,2,12,107795,3419.0088,6.0,0.1855731017519685,3.864180700528955,-5.305142581433889,-57.93534800721832,False,0.8218356900185648,0.8445875791275866
Turkana,Loima,2011-03-01,2011,3,12,107795,3419.0088,6.0,0.2038328060680952,55.08375717720173,15.829505006580902,37.11721161520784,False,0.7847436947963666,0.7970200866694009
Turkana,Loima,2011-04-01,2011,4,12,107795,3419.0088,6.0,0.2186427369492959,28.92788390850661,-35.088108478813126,-55.72800729558841,False,0.7461614044682879,0.7484181378008472
Turkana,Loima,2011-05-01,2011,5,12,107795,3419.0088,6.0,0.2633363708227212,22.89927151032455,-30.802491624113443,-55.66071464954397,False,0.7111126156626858,0.7050691336494682
Turkana,Loima,2011-06-01,2011,6,12,107795,3419.0088,6.0,0.2548434421234519,27.009290267516445,-1.1022979875805632,-10.208354870781545,False,0.6770710315429785,0.6637199142414614
Turkana,Loima,2011-07-01,2011,7,12,107795,3419.0088,6.0,0.2594507179915808,50.068980099089245,18.281239241604307,51.98046686982133,False,0.6460687033126395,0.6267267781602126
Turkana,Loima,2011-08-01,2011,8,12,107795,3419.0088,6.0,0.2907413252563761,20.776990965341955,-4.169361440607371,-22.644755796224626,False,0.6158835726538445,0.591332000531872
Turkana,Loima,2011-09-01,2011,9,12,107795,3419.0088,6.0,0.2782324717149143,15.609575298773311,5.117861204672049,191.035853844226,False,0.5874365435867576,0.5585496774916492
